Filename,Temp. (K),Gamma,nu,nu_z,Viscosity,Grid size,M,C. rad. (mu m),# tip GPs,DT mult.,mubar,Adaptivity,Initial chi,Host,,,,,,,,
sl600_qs,600,5.00E-06,1.00E+08,25,0.05,385,11,1.50E-04,34.9,20000,0.1,0.005,0.03,Derwent,,,,,,,,
sl640_qs,640,5.00E-06,1.00E+08,25,0.05,385,11,1.50E-04,34.9,20000,0.1,0.005,0.03,Derwent,,,,,,,,
sl680_qs,680,5.00E-06,1.00E+08,25,0.05,385,11,1.50E-04,34.9,20000,0.1,0.005,0.03,Derwent,,,,,,,,
fa640_qs,640,5.00E-06,1.00E+08,25,0.05,385,11,1.50E-04,34.9,200000,0.1,0.005,0.03,Derwent,,,,,,,,
fa600,600,5.00E-07,1.00E+08,25,0.05,513,9,1.50E-04,56.9,500000,0.1,0.005,0.03,Yuba,,,,,,,,
fa640,640,5.00E-07,1.00E+08,25,0.05,513,9,1.50E-04,56.9,500000,0.1,0.005,0.03,Yuba,,,,,,,,
fa680,680,5.00E-07,1.00E+08,25,0.05,513,9,1.50E-04,56.9,500000,0.1,0.005,0.03,Yuba,,,,,,,,
fa600lv,600,5.00E-07,1.00E+08,25,0.005,513,9,1.50E-04,56.9,500000,0.1,0.005,0.03,Odra,,,,,,,,
fa640lv,640,5.00E-07,1.00E+08,25,0.005,513,9,1.50E-04,56.9,500000,0.1,0.005,0.03,Odra,,,,,,,,
fa680lv,680,5.00E-07,1.00E+08,25,0.005,513,9,1.50E-04,56.9,500000,0.1,0.005,0.03,Merced,,,,,,,,
fa680lvb,680,5.00E-07,1.00E+08,25,0.005,513,9,1.50E-04,56.9,250000,0.1,0.005,0.03,Odra,,,,,,,,
fa680lvc,680,5.00E-07,1.00E+08,25,0.005,513,9,1.50E-04,56.9,1000000,0.1,0.005,0.03,Odra,,,,,,,,
fa680lvd,680,5.00E-07,1.00E+08,25,0.005,513,6,1.50E-04,85.3,500000,0.1,0.005,0.03,Odra,,,,,,,,
fa600lve,600,5.00E-08,1.00E+08,25,0.005,513,9,1.50E-04,56.9,2500000,0.1,0.005,0.03,Odra,,,,,,,,
fa640lve,640,5.00E-08,1.00E+08,25,0.005,513,9,1.50E-04,56.9,2500000,0.1,0.005,0.03,Odra,,,,,,,,
fa680lve,680,5.00E-08,1.00E+08,25,0.005,513,9,1.50E-04,56.9,2500000,0.1,0.005,0.03,Derwent,,,,,,,,
sf600,600,5.00E-07,1.00E+08,25,0.005,513,7,1.50E-04,73.1,2500000,0.1,0.005,0.03,Jordan,,,,,,,,
sf640,640,5.00E-07,1.00E+08,25,0.005,513,7,1.50E-04,73.1,2500000,0.1,0.005,0.03,Jordan,,,,,,,,
sf680,680,5.00E-07,1.00E+08,25,0.005,513,7,1.50E-04,73.1,2500000,0.1,0.005,0.03,Jordan,,,,,,,,
sf680b,680,5.00E-07,1.00E+08,25,0.005,513,7,1.50E-04,73.1,2500000,0.1,0.0025,0.03,Jordan,,,,,,,,
